"ID","Tier","Area","Capability","Original OMP 17.0.6","Lycaon t4code/main","Desktop web/Electron","Mobile web/Capacitor","Flutter main","Gap classification","Recommended route","Evidence note"
"H01","T0","Host","Protocol and capability negotiation","RPC and ACP have typed requests; RPC has no explicit version field","Adds versioned omp-app/1 and t4-omp-authority/1","Code: full","Code: full","Code: full","No product gap; upstream RPC versioning would reduce adapter ambiguity","Keep T4 wire; consider a small generic upstream RPC version field","Clients must honor the features and permissions in the live welcome frame"
"H02","T0","Host","Local host discovery and lifecycle","CLI runtime","Adds T4 host compatibility launcher and OMP authority","Code: full","N/A: remote gateway client","Code: partial","Flutter cutover and packaged lifecycle proof remain","Platform adapter over T4-owned host lifecycle","Do not move generic lifecycle back into OMP"
"H03","T0","Host","Remote pairing and multiple hosts","Not an OMP product concern","T4 host pairing authority","Code: full","Code: full","Code: full","Needs packaged cross-platform proof","Client UI over existing T4 protocol","T4-owned feature; not an upstream parity item"
"H04","T0","Host","Reconnect replay and transcript reconciliation","RPC stream and session persistence","T4 host adds replay and durable projection","Code: full","Code: full","Code: full","Needs live interruption tests per platform","Verify existing protocol and clients","Protocol vocabulary is present"
"H05","T1","Host","Offline cached transcript","Persistent local sessions","T4 clients cache projected state","Code: partial","Code: partial","Code: partial","Offline read behavior needs a single documented contract","Client cache policy only","OMP remains the authority after reconnect"
"H06","T0","Host","Operate pinned unmodified official OMP through the shared adapter","Official OMP exposes RPC command/event seams","Fork bridge remains the released fallback","Gate 0: full","Gate 0: full","Gate 0: full","Official 17.0.6 passes lifecycle, steer/follow-up, approval, cancellation, and no-replay behavior on macOS ARM64 and native Linux x64/ARM64","Plan packaged cutover through the one shared adapter without creating a second adapter","PR #114 used the Lycaon fallback artifact; PR #124 corrects the boundary and retains per-platform evidence"
"H07","T1","Host","Continue from OMP terminal into T4","Terminal command can hand off","Adds /continue-in-t4","Code: full","Code: partial","Code: partial","Mobile landing and failure recovery need proof","Safe CLI handoff plus deep link/session ID","Fork-specific command is appropriate"
"H08","T1","Host","Continue from T4 into OMP terminal","Native terminal can resume a session","Same as upstream","Code: partial","Platform","Code: partial","No clear cross-platform handoff action","Explicit CLI handoff with copyable command","Do not emulate the terminal TUI inside the app"
"H09","T0","Host","Official OMP and fallback-bridge release alignment","Current original is 17.0.6","Released fallback bridge is pinned to 17.0.5","Code: partial","Code: partial","Code: partial","The generated Gate 0 snapshot now separates official 17.0.6 from the released Lycaon 17.0.5 fallback; packaged cutover is not proven","Retain exact pins and per-platform evidence, then replace the packaged fallback only after cutover proof","Missing stock seams are explicit: no ready watermark, live session entries, or durable command key"
"H10","T0","Host","Source vs package vs public release truth","OMP publishes v17.0.6","Fork publishes pinned appserver tag","Main says v0.1.30; public release is v0.1.28","Main says v0.1.30; public release is v0.1.28","Implemented on main; not public release","Release evidence is contradictory","Track on-main, packaged-verified, and publicly-released separately","Public GitHub state checked 2026-07-20"
"P01","T0","Projects","Project and session grouping","Sessions retain cwd and project metadata","Authority resolves project roots","Code: full","Code: full","Code: full","No major source gap","Keep projection in T4; roots remain OMP authority","Verify large libraries and moved projects"
"P02","T0","Projects","Create project or start session in a project","CLI cwd and new session","Typed session.create and project roots","Code: full","Code: full","Code: full","Needs packaged proof","Existing typed command","Do not create a second project database"
"P03","T1","Projects","Reveal project in native file manager","CLI/path known","Privacy-safe project reveal support in integration","Code: full","Platform","Code: partial","Mobile needs a native equivalent such as copy/share path","Platform adapter","Not every desktop action has a meaningful phone equivalent"
"P04","T1","Projects","Project file tree","OMP file tools and cwd","Bounded files.list authority","Code: full","Code: partial","Code: full","Responsive/mobile ergonomics need proof","Client UI over existing files.list","File scope stays confined by OMP authority"
"P05","T1","Projects","Search project files","grep/glob/search tools","Host file authority exists","Code: full","Code: full","Code: full (sprint)","Flutter Quick Open is implemented in this sprint; packaged device proof remains","Run Flutter analysis, widget tests, and Android/iOS build lanes","Uses the same confined and bounded files.search authority as web/Electron"
"P06","T1","Projects","Git branch and worktree context","Native git and worktree commands","T4 wire has optional workspace/runtime metadata","Code: partial","Code: partial","Code: partial","Context is not consistently visible","Project a read-only summary; keep mutation typed and guarded","Workspace features are negotiated, not universal"
"P07","T2","Projects","Create/import/archive/recover Git workspaces","OMP worktree management","T4 host wire defines lifecycle","Code: partial","Code: partial","Code: partial","Protocol breadth exceeds proven client UX","Typed workspace actions gated by negotiated feature","Do not infer support from command definitions alone"
"P08","T2","Projects","Project scripts and common commands","Shell and custom commands","No complete app-specific catalog proven","Missing","Missing","Missing","No ergonomic script surface","Read-only command catalog, then guarded bash.run","Avoid executing arbitrary catalog text without confirmation"
"S01","T0","Sessions","List filter sort group and search sessions","Resume picker and session metadata","Discovery paging and transcript index","Code: full","Code: full","Code: full","Needs live scale proof","Existing projection","Search is separate from project file search"
"S02","T0","Sessions","Create attach and resume sessions","Full native behavior","Typed lifecycle and attach","Code: full","Code: full","Code: full","No major source gap","Existing typed commands","Verify lock and observer transitions"
"S03","T0","Sessions","Rename session","/rename and RPC set_session_name","Typed session.rename","Code: full","Code: full","Code: full","No major source gap","Existing typed command","OMP remains title authority"
"S04","T0","Sessions","Archive and restore","Session management operations","Authority methods and typed commands","Code: full","Code: full","Code: full","No major source gap","Existing typed commands","Verify archive filters on each client"
"S05","T0","Sessions","Close terminate and delete","Native lifecycle","Typed close/delete and authority methods","Code: full","Code: full","Code: full","Destructive copy and confirmation need platform proof","Existing typed commands with confirmation","Delete must remain explicit"
"S06","T0","Sessions","Retry last turn","/retry and RPC retry","Typed session.retry plus verified slash handler","Code: full","Code: full","Code: full","No major source gap","Prefer typed command","Do not rely on slash text where typed command exists"
"S07","T1","Sessions","Pause and resume an active agent","/pause and runtime controls","Typed wire commands exist","Code: partial","Code: partial","Code: full (sprint)","Flutter now has explicit pause and resume controls; web/Capacitor still need equally visible controls","Expose the same typed controls in the shared web composer","Flutter keeps pause separate from stop/cancel"
"S08","T1","Sessions","Reset provider-facing state without replacing session","/fresh","Verified headless slash handler","Slash only","Slash only","Slash only","No first-class explanation or result","Typed RPC wrapper or keep an explicitly marked headless slash","Useful for provider conversation state"
"S09","T0","Sessions","Branch fork and navigate session tree","/branch /fork /tree and RPC branch/get_branch_messages","TUI commands are cataloged but not headless","Missing","Missing","Missing","Central OMP session-tree behavior is absent","Typed wire commands over existing RPC","Do not parse JSONL directly in clients"
"S10","T0","Sessions","Compact handoff and resume elsewhere","/compact /handoff /resume and RPC compact/handoff","Compact is typed; handoff/resume commands are TUI-only","Code: partial","Code: partial","Code: partial","Compaction exists; full handoff workflow does not","Typed wire commands over existing RPC","Show summary outcome and resulting session identity"
"S11","T2","Sessions","Move or re-root a session","/move has a headless handler","Verified headless slash handler","Slash only","Slash only","Slash only","Server-side path entry is awkward on mobile","Typed authority action with path validation","Keep root confinement in OMP"
"S12","T1","Sessions","Manual compaction and strategy visibility","Multiple compaction strategies and /compact","Typed compact command and state fields","Code: partial","Code: partial","Code: full (sprint)","Flutter exposes manual compact; strategy selection and a richer result remain future work","Verify the direct control first, then add strategy/result UX from runtime truth","Auto-compaction state remains read-only truth"
"S13","T2","Sessions","Shake or reduce stale context","/shake has a headless handler","Verified headless slash handler","Slash only","Slash only","Slash only","No native explanation or result","Keep marked slash initially; later typed operation","Less common than ordinary compact"
"S14","T2","Sessions","Export dump and copy transcript","/export /dump /copy","Export and dump have headless handlers; copy is TUI-only","Slash only","Slash only","Slash only","Server-side output destinations are not ergonomic on devices","Typed artifact export and native share sheet","Do not assume a remote host clipboard is the user's clipboard"
"S15","T2","Sessions","Encrypted share collaboration join and leave","/share /collab /join /leave and browser guest","Share is headless; collaboration commands are TUI-only","Code: partial","Code: partial","Missing","Full read/write collaboration is not mapped","Typed collaboration contract with explicit permissions","Higher security and identity risk than transcript export"
"S16","T1","Sessions","Usage context and statistics","/usage /context /stats and CLI dashboards","Usage authority plus headless commands","Code: full","Code: full","Code: full","Detailed local stats may be thinner than OMP TUI","Keep structured usage; add read-only stats projection if valuable","Quota/reset data is provider-sensitive but not secret"
"S17","T3","Sessions","Changelog","/changelog","Verified headless slash handler","Slash only","Slash only","Slash only","No native release-notes surface","Link to T4 and OMP release notes with version pairing","Low frequency"
"C01","T0","Composer","Send prompt and stream response","Core OMP loop","Per-session RPC child plus typed prompt","Code: full","Code: full","Code: full","No major source gap","Existing typed command","Verify long streams and reconnect"
"C02","T0","Composer","Steer during a turn and send after-turn follow-up","Native steering and follow-up queues","Typed steer/followUp with modes","Code: full","Code: full","Code: full","No major source gap","Existing typed commands","UI must clearly show immediate versus after-turn delivery"
